path_text,predicted_compound,confidence,source,ml_top_candidates,structural_candidate
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pulseprogram,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / precom.output,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8292707400057044), ('1 A', 0.017106598202284228), ('1a-1B', 0.0036414284987240364), ('1b', 0.003311418193732071), ('1 B', 0.0031246572344632855)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / format.temp,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / audita.txt,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata,1a,0.8965247396274312,ML+PATH,"[('1a', 0.8965247396274312), ('1 A', 0.011378042228374083), ('1a-1B', 0.0024025914691224053), ('1b', 0.00208567318884482), ('1 B', 0.001969090098691688)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1,1a,0.879408100059392,ML+PATH,"[('1a', 0.879408100059392), ('1 A', 0.014210721773264793), ('1a-1B', 0.0027598321286838347), ('1 B', 0.0026379708684907176), ('1b', 0.002365654233012992)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / proc,1a,0.8083104807068789,ML+PATH,"[('1a', 0.8083104807068789), ('1 A', 0.019087650247616533), ('1a-1B', 0.004360698043729519), ('1 B', 0.004149653697939778), ('1b', 0.0038011585411669387)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, 'proc': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / title,1a,0.8083104807068789,ML+PATH,"[('1a', 0.8083104807068789), ('1 A', 0.019087650247616533), ('1a-1B', 0.004360698043729519), ('1 B', 0.004149653697939778), ('1b', 0.0038011585411669387)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, 'title': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / auditp.txt,1a,0.8080953796190085,ML+PATH,"[('1a', 0.8080953796190085), ('1 A', 0.019108147622367018), ('1a-1B', 0.004369195627307196), ('1 B', 0.004156928925836794), ('1b', 0.0038078498837741687)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, 'auditp.txt': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / intrng,1a,0.7430459475778979,ML+PATH,"[('1a', 0.7430459475778979), ('1 A', 0.021950019338357645), ('1a-1B', 0.006622568617185908), ('1 B', 0.005382819164812619), ('1b', 0.005017608163759097)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, 'intrng': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / 1r,1a,0.8073906238490284,ML+PATH,"[('1a', 0.8073906238490284), ('1 A', 0.018411080014970077), ('1r', 0.012233305053591707), ('1a-1B', 0.004177842302537723), ('1 B', 0.00399106533039895)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, '1r': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / 1i,1a,0.8072233994065601,ML+PATH,"[('1a', 0.8072233994065601), ('1 A', 0.018520745601689266), ('1i', 0.012410180838535347), ('1a-1B', 0.00417487112081124), ('1 B', 0.00398650784477065)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, '1i': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / procs,1a,0.8083104807068789,ML+PATH,"[('1a', 0.8083104807068789), ('1 A', 0.019087650247616533), ('1a-1B', 0.004360698043729519), ('1 B', 0.004149653697939778), ('1b', 0.0038011585411669387)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, 'procs': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / outd,1a,0.8083104807068789,ML+PATH,"[('1a', 0.8083104807068789), ('1 A', 0.019087650247616533), ('1a-1B', 0.004360698043729519), ('1 B', 0.004149653697939778), ('1b', 0.0038011585411669387)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, 'outd': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / pdata / 1 / thumb.png,1a,0.8083104807068789,ML+PATH,"[('1a', 0.8083104807068789), ('1 A', 0.019087650247616533), ('1a-1B', 0.004360698043729519), ('1 B', 0.004149653697939778), ('1b', 0.0038011585411669387)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1a': -2, '1a 13C NMR': -1, 'pdata': 0, '1': 1, 'thumb.png': 2}"
.. / test2 / 1a-1B / 1a / 1a 13C NMR / cpdprg2,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8041421508367413), ('1 A', 0.018770905591649574), ('1a-1B', 0.004182940181891581), ('1b', 0.0037747201324650212), ('1 B', 0.003547642642305284)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / fq1list,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8291453474664184), ('1 A', 0.017117609610284), ('1a-1B', 0.003645097494929883), ('1b', 0.0033147194141416635), ('1l', 0.00321557038295382)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / fid,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / shimvalues,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / uxnmr.info,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / desktop.ini,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.7514382374095043), ('1 A', 0.021062958268436637), ('1a-1B', 0.005054909301816385), ('1b', 0.004712813646260891), ('1 B', 0.004320878440911953)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / scon2,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / vtc_pid_settings,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8069799182278622), ('1 A', 0.018768372510447464), ('1a-1B', 0.004298682535098545), ('1 B', 0.0036977511489308923), ('1b', 0.0035618258606304547)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / acqu,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / acqus,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 13C NMR / specpar,1a,0.6,STRUCTURE_NO_PDATA,"[('1a', 0.8301359585008812), ('1 A', 0.017041846206884346), ('1a-1B', 0.003614663132312811), ('1b', 0.003288542950913383), ('1 B', 0.0031025578819849054)]",{}
.. / test2 / 1a-1B / 1a / 1a 19F NMR.mnova,1a,0.7644945432874268,ML+PATH,"[('1a', 0.7644945432874268), ('1 A', 0.012887724710861408), ('1a-1B', 0.004633368657812832), ('1b', 0.00455732515668853), ('1 B', 0.004204922768126196)]",{}
.. / test2 / 1a-1B / 1u,1u,0.8080782545028091,ML+PATH,"[('1u', 0.8080782545028091), ('1a', 0.0048143486871916035), ('1a-1B', 0.004588086156219663), ('1 A', 0.004412316868822914), ('1b', 0.004166522092933554)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR.mnova,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8600532146653465), ('1a-1B', 0.0037909385945190536), ('1a', 0.003174093696679339), ('1 A', 0.003000035199232151), ('1b', 0.002824773042493237)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.9137424210407775), ('1a-1B', 0.002433392664896561), ('1a', 0.0019620336741576704), ('1 A', 0.0018655044783399259), ('1b', 0.0017585138543411089)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / uxnmr.par,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pulseprogram,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / precom.output,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8553533325618139), ('1a-1B', 0.00402332085273116), ('1a', 0.003305339672762872), ('1 A', 0.003053902922301755), ('1b', 0.0029880266979833907)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / format.temp,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / audita.txt,1u,0.6,STRUCTURE_NO_PDATA,"[('1u', 0.8559653711952061), ('1a-1B', 0.003999569596088409), ('1a', 0.0032865132015195055), ('1 A', 0.003038491023762088), ('1b', 0.0029709312869175765)]",{}
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata,1u,0.9040324532768308,ML+PATH,"[('1u', 0.9040324532768308), ('1a-1B', 0.002934663071982674), ('1a', 0.002284632994005381), ('1b', 0.0020654837613679434), ('1 B', 0.0020073956640977394)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1,1u,0.8926360131637764,ML+PATH,"[('1u', 0.8926360131637764), ('1a-1B', 0.0032527891885929592), ('1 B', 0.0025498130026860425), ('1a', 0.002502917484550438), ('1 A', 0.002386373482686174)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1 / proc,1u,0.8409999273676869,ML+PATH,"[('1u', 0.8409999273676869), ('1a-1B', 0.004659953077190058), ('1 B', 0.0036932673049506794), ('1a', 0.003688145156996035), ('1 A', 0.0034796958604036182)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1, 'proc': 2}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1 / title,1u,0.8409999273676869,ML+PATH,"[('1u', 0.8409999273676869), ('1a-1B', 0.004659953077190058), ('1 B', 0.0036932673049506794), ('1a', 0.003688145156996035), ('1 A', 0.0034796958604036182)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1, 'title': 2}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1 / auditp.txt,1u,0.8408447930527008,ML+PATH,"[('1u', 0.8408447930527008), ('1a-1B', 0.0046676078678610025), ('1 B', 0.003698903537701937), ('1a', 0.003693915567598684), ('1 A', 0.003484805207781155)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1, 'auditp.txt': 2}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1 / 1r,1u,0.8401865503583765,ML+PATH,"[('1u', 0.8401865503583765), ('1r', 0.009634113210147805), ('1a-1B', 0.00449626161088814), ('1 B', 0.0035718496076865315), ('1a', 0.003560069272643955)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1, '1r': 2}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1 / 1i,1u,0.8403052730719137,ML+PATH,"[('1u', 0.8403052730719137), ('1i', 0.009493256517870544), ('1a-1B', 0.004494067178932075), ('1 B', 0.0035686370873226256), ('1a', 0.003556451954669547)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1, '1i': 2}"
.. / test2 / 1a-1B / 1u / 1u 1H NMR / pdata / 1 / procs,1u,0.8409999273676869,ML+PATH,"[('1u', 0.8409999273676869), ('1a-1B', 0.004659953077190058), ('1 B', 0.0036932673049506794), ('1a', 0.003688145156996035), ('1 A', 0.0034796958604036182)]","{'..': -5, 'test2': -4, '1a-1B': -3, '1u': -2, '1u 1H NMR': -1, 'pdata': 0, '1': 1, 'procs': 2}"
