   Current data set:
   NAME =	hazh86	EXPNO =	40	PROCNO = 1
   DU   =	//fs.univie.ac.at/homedirs/zhangh94/Desktop/hazh_NMR

   Number   Integrated Region     Integral
     1      7.471      7.428         2.01173
     2      7.429      7.386         2.14075
     3      7.359      7.288         3.13231
     4      7.249      7.200         2.02254
     5      7.166      7.083         1.09193
     6      6.813      6.725         1.00077
     7      5.926      5.822         1.00000
     8      3.818      3.387         3.41411
     9      3.296      3.058         0.91540
    10      2.038      1.784         4.51863
    11      1.369      1.158         0.89392
