   Current data set:
   NAME =	mari-0311	EXPNO =	110	PROCNO = 1
   DU   =	C:/mari

   Number   Integrated Region     Integral
     1      7.588      7.529         0.96634
     2      7.357      7.322         0.96137
     3      7.300      7.241         1.37102
     4      7.147      7.083         1.00000
     5      3.802      3.700         2.13862
     6      3.551      3.497         2.10472
     7      3.497      3.435         2.15595
     8      1.987      1.926         2.11401
     9      1.904      1.834         2.13318
